"interval_start_utc","interval_end_utc","load"
2024-04-29 08:00:00,2024-04-29 08:05:00,21447
2024-04-29 08:05:00,2024-04-29 08:10:00,21481
2024-04-29 08:10:00,2024-04-29 08:15:00,21400
2024-04-29 08:15:00,2024-04-29 08:20:00,21342
2024-04-29 08:20:00,2024-04-29 08:25:00,21233
2024-04-29 08:25:00,2024-04-29 08:30:00,21080
2024-04-29 08:30:00,2024-04-29 08:35:00,20863
2024-04-29 08:35:00,2024-04-29 08:40:00,20807
2024-04-29 08:40:00,2024-04-29 08:45:00,20601
2024-04-29 08:45:00,2024-04-29 08:50:00,20481
2024-04-29 08:50:00,2024-04-29 08:55:00,20289
2024-04-29 08:55:00,2024-04-29 09:00:00,20150
2024-04-29 09:00:00,2024-04-29 09:05:00,20008
2024-04-29 09:05:00,2024-04-29 09:10:00,19964
2024-04-29 09:10:00,2024-04-29 09:15:00,19855
2024-04-29 09:15:00,2024-04-29 09:20:00,19782
2024-04-29 09:20:00,2024-04-29 09:25:00,19602
2024-04-29 09:25:00,2024-04-29 09:30:00,19464
2024-04-29 09:30:00,2024-04-29 09:35:00,19238
2024-04-29 09:35:00,2024-04-29 09:40:00,19049
2024-04-29 09:40:00,2024-04-29 09:45:00,18898
2024-04-29 09:45:00,2024-04-29 09:50:00,18706
2024-04-29 09:50:00,2024-04-29 09:55:00,18655
2024-04-29 09:55:00,2024-04-29 10:00:00,18594
2024-04-29 10:00:00,2024-04-29 10:05:00,18469
2024-04-29 10:05:00,2024-04-29 10:10:00,18421
2024-04-29 10:10:00,2024-04-29 10:15:00,18347
2024-04-29 10:15:00,2024-04-29 10:20:00,18186
2024-04-29 10:20:00,2024-04-29 10:25:00,18081
2024-04-29 10:25:00,2024-04-29 10:30:00,17972
2024-04-29 10:30:00,2024-04-29 10:35:00,17863
2024-04-29 10:35:00,2024-04-29 10:40:00,17735
2024-04-29 10:40:00,2024-04-29 10:45:00,17611
2024-04-29 10:45:00,2024-04-29 10:50:00,17567
2024-04-29 10:50:00,2024-04-29 10:55:00,17494
2024-04-29 10:55:00,2024-04-29 11:00:00,17350
2024-04-29 11:00:00,2024-04-29 11:05:00,17271
2024-04-29 11:05:00,2024-04-29 11:10:00,17222
2024-04-29 11:10:00,2024-04-29 11:15:00,17033
2024-04-29 11:15:00,2024-04-29 11:20:00,16925
2024-04-29 11:20:00,2024-04-29 11:25:00,16890
2024-04-29 11:25:00,2024-04-29 11:30:00,16815
2024-04-29 11:30:00,2024-04-29 11:35:00,16766
2024-04-29 11:35:00,2024-04-29 11:40:00,16640
2024-04-29 11:40:00,2024-04-29 11:45:00,16563
2024-04-29 11:45:00,2024-04-29 11:50:00,16678
2024-04-29 11:50:00,2024-04-29 11:55:00,16647
2024-04-29 11:55:00,2024-04-29 12:00:00,16600
2024-04-29 12:00:00,2024-04-29 12:05:00,16523
2024-04-29 12:05:00,2024-04-29 12:10:00,16628
2024-04-29 12:10:00,2024-04-29 12:15:00,16659
2024-04-29 12:15:00,2024-04-29 12:20:00,16582
2024-04-29 12:20:00,2024-04-29 12:25:00,16547
2024-04-29 12:25:00,2024-04-29 12:30:00,16508
2024-04-29 12:30:00,2024-04-29 12:35:00,16552
2024-04-29 12:35:00,2024-04-29 12:40:00,16517
2024-04-29 12:40:00,2024-04-29 12:45:00,16541
2024-04-29 12:45:00,2024-04-29 12:50:00,16486
2024-04-29 12:50:00,2024-04-29 12:55:00,16500
2024-04-29 12:55:00,2024-04-29 13:00:00,16503
2024-04-29 13:00:00,2024-04-29 13:05:00,16537
2024-04-29 13:05:00,2024-04-29 13:10:00,16530
2024-04-29 13:10:00,2024-04-29 13:15:00,16507
2024-04-29 13:15:00,2024-04-29 13:20:00,16506
2024-04-29 13:20:00,2024-04-29 13:25:00,16550
2024-04-29 13:25:00,2024-04-29 13:30:00,16553
2024-04-29 13:30:00,2024-04-29 13:35:00,16601
2024-04-29 13:35:00,2024-04-29 13:40:00,16639
2024-04-29 13:40:00,2024-04-29 13:45:00,16672
2024-04-29 13:45:00,2024-04-29 13:50:00,16516
2024-04-29 13:50:00,2024-04-29 13:55:00,16607
2024-04-29 13:55:00,2024-04-29 14:00:00,16682
2024-04-29 14:00:00,2024-04-29 14:05:00,16733
2024-04-29 14:05:00,2024-04-29 14:10:00,16666
2024-04-29 14:10:00,2024-04-29 14:15:00,16645
2024-04-29 14:15:00,2024-04-29 14:20:00,16715
2024-04-29 14:20:00,2024-04-29 14:25:00,16852
2024-04-29 14:25:00,2024-04-29 14:30:00,16892
2024-04-29 14:30:00,2024-04-29 14:35:00,16958
2024-04-29 14:35:00,2024-04-29 14:40:00,17044
2024-04-29 14:40:00,2024-04-29 14:45:00,17140
2024-04-29 14:45:00,2024-04-29 14:50:00,17240
2024-04-29 14:50:00,2024-04-29 14:55:00,17308
2024-04-29 14:55:00,2024-04-29 15:00:00,17412
2024-04-29 15:00:00,2024-04-29 15:05:00,17512
2024-04-29 15:05:00,2024-04-29 15:10:00,17584
2024-04-29 15:10:00,2024-04-29 15:15:00,17668
2024-04-29 15:15:00,2024-04-29 15:20:00,17836
2024-04-29 15:20:00,2024-04-29 15:25:00,17999
2024-04-29 15:25:00,2024-04-29 15:30:00,18045
2024-04-29 15:30:00,2024-04-29 15:35:00,18115
2024-04-29 15:35:00,2024-04-29 15:40:00,18312
2024-04-29 15:40:00,2024-04-29 15:45:00,18473
2024-04-29 15:45:00,2024-04-29 15:50:00,18604
2024-04-29 15:50:00,2024-04-29 15:55:00,18767
2024-04-29 15:55:00,2024-04-29 16:00:00,18898
2024-04-29 16:00:00,2024-04-29 16:05:00,18990
2024-04-29 16:05:00,2024-04-29 16:10:00,18985
2024-04-29 16:10:00,2024-04-29 16:15:00,18933
2024-04-29 16:15:00,2024-04-29 16:20:00,19146
2024-04-29 16:20:00,2024-04-29 16:25:00,19333
2024-04-29 16:25:00,2024-04-29 16:30:00,19507
2024-04-29 16:30:00,2024-04-29 16:35:00,19688
2024-04-29 16:35:00,2024-04-29 16:40:00,19820
2024-04-29 16:40:00,2024-04-29 16:45:00,20037
2024-04-29 16:45:00,2024-04-29 16:50:00,20255
2024-04-29 16:50:00,2024-04-29 16:55:00,20475
2024-04-29 16:55:00,2024-04-29 17:00:00,20744
2024-04-29 17:00:00,2024-04-29 17:05:00,20914
2024-04-29 17:05:00,2024-04-29 17:10:00,20838
2024-04-29 17:10:00,2024-04-29 17:15:00,21021
2024-04-29 17:15:00,2024-04-29 17:20:00,21298
2024-04-29 17:20:00,2024-04-29 17:25:00,21545
2024-04-29 17:25:00,2024-04-29 17:30:00,21802
2024-04-29 17:30:00,2024-04-29 17:35:00,21963
2024-04-29 17:35:00,2024-04-29 17:40:00,22147
2024-04-29 17:40:00,2024-04-29 17:45:00,22368
2024-04-29 17:45:00,2024-04-29 17:50:00,22603
2024-04-29 17:50:00,2024-04-29 17:55:00,22854
2024-04-29 17:55:00,2024-04-29 18:00:00,23082
2024-04-29 18:00:00,2024-04-29 18:05:00,23219
2024-04-29 18:05:00,2024-04-29 18:10:00,23146
2024-04-29 18:10:00,2024-04-29 18:15:00,23315
2024-04-29 18:15:00,2024-04-29 18:20:00,23533
2024-04-29 18:20:00,2024-04-29 18:25:00,23700
2024-04-29 18:25:00,2024-04-29 18:30:00,23887
2024-04-29 18:30:00,2024-04-29 18:35:00,24101
2024-04-29 18:35:00,2024-04-29 18:40:00,24268
2024-04-29 18:40:00,2024-04-29 18:45:00,24439
2024-04-29 18:45:00,2024-04-29 18:50:00,24584
2024-04-29 18:50:00,2024-04-29 18:55:00,24756
2024-04-29 18:55:00,2024-04-29 19:00:00,24885
2024-04-29 19:00:00,2024-04-29 19:05:00,24983
2024-04-29 19:05:00,2024-04-29 19:10:00,25076
2024-04-29 19:10:00,2024-04-29 19:15:00,25146
2024-04-29 19:15:00,2024-04-29 19:20:00,25272
2024-04-29 19:20:00,2024-04-29 19:25:00,25394
2024-04-29 19:25:00,2024-04-29 19:30:00,25492
2024-04-29 19:30:00,2024-04-29 19:35:00,25594
2024-04-29 19:35:00,2024-04-29 19:40:00,25745
2024-04-29 19:40:00,2024-04-29 19:45:00,25801
2024-04-29 19:45:00,2024-04-29 19:50:00,25886
2024-04-29 19:50:00,2024-04-29 19:55:00,25990
2024-04-29 19:55:00,2024-04-29 20:00:00,26102
2024-04-29 20:00:00,2024-04-29 20:05:00,26183
2024-04-29 20:05:00,2024-04-29 20:10:00,26200
2024-04-29 20:10:00,2024-04-29 20:15:00,26205
2024-04-29 20:15:00,2024-04-29 20:20:00,26270
2024-04-29 20:20:00,2024-04-29 20:25:00,26299
2024-04-29 20:25:00,2024-04-29 20:30:00,26286
2024-04-29 20:30:00,2024-04-29 20:35:00,26204
2024-04-29 20:35:00,2024-04-29 20:40:00,26145
2024-04-29 20:40:00,2024-04-29 20:45:00,26109
2024-04-29 20:45:00,2024-04-29 20:50:00,26002
2024-04-29 20:50:00,2024-04-29 20:55:00,25950
2024-04-29 20:55:00,2024-04-29 21:00:00,25873
2024-04-29 21:00:00,2024-04-29 21:05:00,25757
2024-04-29 21:05:00,2024-04-29 21:10:00,25795
2024-04-29 21:10:00,2024-04-29 21:15:00,25807
2024-04-29 21:15:00,2024-04-29 21:20:00,25680
2024-04-29 21:20:00,2024-04-29 21:25:00,25632
2024-04-29 21:25:00,2024-04-29 21:30:00,25548
